ID,Name,Length (miles),Ascent (ft),Descent (ft),Dogs,Features,Ratings,Difficulty,State
7051801,hope-point-trail,4.2,3510.0,35.0,Off-leash,"['Views', 'Wildlife']","[5.0, 2]",Intermediate/Difficult,AK
7020192,worthington-glacier-ridge-trail,1.3,1322.0,0.0,Leashed,"['Birding', 'Fall Colors', 'Spring', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife']","[5.0, 1]",Difficult,AK
7021171,matanuska-peak-trail,5.5,5614.0,259.0,Leashed,"['Birding', 'Fall Colors', 'River/Creek', 'Wildflowers', 'Wildlife']","[5.0, 2]",Difficult,AK
7048721,mount-magnificent-route,3.1,2902.0,249.0,Off-leash,['Views'],"[5.0, 1]",Intermediate/Difficult,AK
7010600,rock-creek-trail,2.1,484.0,209.0,No Dogs,"['Fall Colors', 'Views', 'Wildflowers', 'Wildlife']","[5.0, 2]",Intermediate,AK
7055333,mt-juneau-trail,2.5,2802.0,42.0,Leashed,"['Views', 'Wildlife']","[5.0, 2]",Difficult,AK
7054893,slaughters-ridge-trail-344,1.9,2318.0,7.0,Off-leash,"['Birding', 'Fall Colors', 'Lake', 'River/Creek', 'Views', 'Wildflowers']","[5.0, 2]",Difficult,AK
7038053,lees-train,0.3,10.0,89.0,Leashed,['-none-'],"[5.0, 2]",Intermediate/Difficult,AK
7046390,turnagain-arm-trail,9.4,1673.0,1570.0,Off-leash,"['Views', 'Wildlife']","[5.0, 1]",Easy/Intermediate,AK
7048446,knoya-peak-trail,2.3,1921.0,275.0,Off-leash,['Views'],"[5.0, 1]",Intermediate/Difficult,AK
7034570,mt-roberts-trail,4.9,3839.0,379.0,,['-none-'],"[5.0, 1]",Intermediate/Difficult,AK
7010594,mt-healy-trail,2.0,1573.0,25.0,No Dogs,"['Fall Colors', 'Views', 'Wildlife']","[5.0, 1]",Difficult,AK
7046013,falls-creek-trail,2.8,2873.0,4.0,Off-leash,"['Lake', 'River/Creek', 'Swimming', 'Views', 'Wildlife']","[5.0, 1]",Intermediate/Difficult,AK
7047374,blacktail-rocks-route,2.2,1514.0,85.0,Off-leash,['Views'],"[5.0, 1]",Difficult,AK
7003287,azt-passage-38-south-kaibab,6.6,133.0,4883.0,No Dogs,"['Birding', 'River/Creek', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife']","[4.9, 48]",Difficult,AZ
7004880,bright-angel-trail,9.2,214.0,4579.0,No Dogs,"['Birding', 'River/Creek', 'Views', 'Wildlife']","[4.8, 32]",Intermediate/Difficult,AZ
7026958,cathedral-rock-trail,0.5,646.0,5.0,Unknown,['Views'],"[4.7, 30]",Intermediate/Difficult,AZ
7002990,west-fork-oak-creek-trail,2.7,565.0,244.0,Leashed,"['Fall Colors', 'River/Creek', 'Views', 'Wildflowers', 'Wildlife']","[4.3, 33]",Easy/Intermediate,AZ
7021951,echo-canyon-summit-trail,1.1,1140.0,1.0,No Dogs,['Views'],"[4.2, 31]",Difficult,AZ
7015667,siphon-draw-trail-53,2.4,2555.0,117.0,Leashed,"['Views', 'Waterfall', 'Wildflowers']","[4.7, 18]",Difficult,AZ
7002976,bear-mountain-trail,2.3,1912.0,88.0,Unknown,"['Views', 'Wildlife']","[4.7, 23]",Intermediate/Difficult,AZ
7019273,cibecue-creek-trail,2.7,486.0,45.0,Leashed,"['Cave', 'River/Creek', 'Swimming', 'Views', 'Waterfall']","[4.8, 9]",Intermediate,AZ
7003309,widforss-point-trail,4.9,495.0,628.0,No Dogs,"['Fall Colors', 'Views']","[5.0, 14]",Intermediate,AZ
7013827,piestewa-peak-summit-trail-300,1.1,1050.0,0.0,No Dogs,['Views'],"[4.2, 27]",Difficult,AZ
7003232,escalante,11.3,2156.0,2250.0,Unknown,"['Birding', 'River/Creek', 'Views', 'Wildflowers', 'Wildlife']","[5.0, 12]",,AZ
7019648,phoneline-trail,4.2,1042.0,187.0,No Dogs,"['River/Creek', 'Views']","[5.0, 6]",Intermediate,AZ
7003291,tapeats-creek,2.3,239.0,731.0,No Dogs,"['Birding', 'River/Creek', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife']","[5.0, 4]",Intermediate,AZ
7003227,deer-creek,3.2,81.0,1882.0,No Dogs,"['Birding', 'River/Creek', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife']","[5.0, 7]",Intermediate,AZ
7003292,thunder-river,12.6,883.0,4615.0,No Dogs,"['Birding', 'Cave', 'River/Creek', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife']","[5.0, 6]",Intermediate/Difficult,AZ
7035721,hangover-trail,3.2,244.0,753.0,Unknown,['Views'],"[4.9, 7]",Intermediate/Difficult,AZ
7023878,dynamite-trail,2.4,351.0,177.0,Leashed,"['Birding', 'Views', 'Wildflowers', 'Wildlife']","[5.0, 5]",Easy/Intermediate,AZ
7024129,superstition-ridgeline-trail,8.0,957.0,3159.0,Leashed,['-none-'],"[5.0, 4]",Difficult,AZ
7003234,grandview-trail,4.4,54.0,3527.0,No Dogs,['Views'],"[4.5, 13]",Difficult,AZ
7004051,hermit-trail,5.9,306.0,3716.0,No Dogs,"['Birding', 'Views', 'Wildflowers', 'Wildlife']","[4.5, 13]",Intermediate/Difficult,AZ
7010579,north-sylamore-creek-trail,23.7,3832.0,4525.0,Off-leash,"['Birding', 'Cave', 'Fall Colors', 'River/Creek', 'Swimming', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife']","[4.8, 12]",Intermediate,AR
7042478,big-bluff-trail,0.9,36.0,485.0,No Dogs,['Views'],"[4.8, 10]",Intermediate,AR
7009558,athens-big-fork-trail,10.2,2360.0,2514.0,Off-leash,"['Birding', 'Fall Colors', 'River/Creek', 'Views', 'Wildflowers', 'Wildlife']","[5.0, 5]",Difficult,AR
7027569,womble-trail,35.5,4093.0,3748.0,Off-leash,"['Birding', 'Fall Colors', 'Lake', 'River/Creek', 'Views', 'Wildflowers', 'Wildlife', 'Commonly Backpacked']","[5.0, 2]",Intermediate/Difficult,AR
7027256,bomber-trail,0.7,101.0,3.0,Unknown,"['Birding', 'Fall Colors', 'Lake', 'River/Creek', 'Spring', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife']","[5.0, 2]",Intermediate,AR
7047242,chinkapin-oak,1.4,280.0,42.0,Leashed,['-none-'],"[5.0, 2]",Intermediate,AR
7054764,tall-peak-trail-14c,2.9,1187.0,20.0,Unknown,"['Fall Colors', 'Lake', 'River/Creek', 'Swimming', 'Views', 'Wildlife']","[5.0, 2]",Intermediate/Difficult,AR
7042471,east-summit-trail,0.6,589.0,0.0,Leashed,['Views'],"[4.8, 5]",Difficult,AR
7050351,buffalo-river-trail-dillard-ferry-to-spring-creek,5.9,1062.0,785.0,Leashed,"['Fall Colors', 'River/Creek', 'Spring', 'Swimming', 'Views', 'Wildflowers', 'Wildlife']","[5.0, 1]",Intermediate/Difficult,AR
7056011,sams-throne-trail-210,0.4,122.0,113.0,Unknown,"['Fall Colors', 'Views', 'Wildlife']","[5.0, 1]",Difficult,AR
7023373,kings-bluff-trail,1.7,242.0,296.0,Leashed,"['Fall Colors', 'Views']","[5.0, 1]",Easy/Intermediate,AR
7037395,the-ledges,3.0,304.0,94.0,Leashed,['-none-'],"[5.0, 1]",Difficult,AR
7035258,the-white-zone,4.7,180.0,177.0,Leashed,['-none-'],"[5.0, 1]",Easy/Intermediate,AR
7043130,serendipity-trail,1.4,199.0,189.0,Leashed,"['Birding', 'Fall Colors', 'Lake', 'Spring', 'Views', 'Wildflowers', 'Wildlife']","[5.0, 1]",Easy,AR
7035397,green-loop,5.0,322.0,294.0,Leashed,['-none-'],"[5.0, 1]",Intermediate,AR
7029533,mena-peak-trail,0.7,8.0,68.0,Leashed,['Views'],"[5.0, 1]",Intermediate/Difficult,AR
7027152,ward-dam-road,0.6,0.0,97.0,Off-leash,"['Lake', 'Views', 'Wildlife']","[5.0, 1]",Easy,AR
7037633,porta-potty,3.4,184.0,185.0,Unknown,['-none-'],"[5.0, 1]",Easy/Intermediate,AR
7056137,arkansas-river-trail,15.7,424.0,426.0,Leashed,['Views'],"[5.0, 1]",Easy,AR
7037392,flo-ride,2.9,222.0,358.0,Leashed,['-none-'],"[5.0, 1]",Easy/Intermediate,AR
7005471,upper-yosemite-falls,3.0,2758.0,195.0,No Dogs,"['Birding', 'River/Creek', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife']","[4.7, 91]",Intermediate/Difficult,CA
7004782,four-mile-trail,4.2,3184.0,4.0,No Dogs,"['Birding', 'River/Creek', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife']","[4.7, 64]",Intermediate/Difficult,CA
7004780,mist-trail,1.6,1466.0,0.0,No Dogs,"['Birding', 'Fall Colors', 'River/Creek', 'Views', 'Waterfall', 'Wildlife']","[4.8, 47]",Intermediate/Difficult,CA
7014102,lassen-peak-trail,2.5,2005.0,26.0,No Dogs,['Views'],"[4.7, 32]",Intermediate/Difficult,CA
7004783,panorama-trail,5.6,772.0,1961.0,No Dogs,"['Birding', 'Fall Colors', 'River/Creek', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife']","[4.9, 21]",Intermediate/Difficult,CA
7008343,high-sierra-trail,66.5,15521.0,13863.0,No Dogs,"['Hot Spring', 'Lake', 'River/Creek', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife', 'Commonly Backpacked']","[4.9, 17]",Intermediate/Difficult,CA
7022637,iron-mountain-peak-trail-10,2.9,1072.0,8.0,Leashed,"['Views', 'Wildflowers', 'Wildlife']","[4.3, 30]",Intermediate,CA
7006592,dipsea-trail,6.6,1539.0,1980.0,Unknown,"['Birding', 'Views', 'Wildflowers', 'Wildlife']","[4.8, 17]",Intermediate/Difficult,CA
7004785,pohono-trail,12.9,1874.0,4736.0,No Dogs,"['Fall Colors', 'River/Creek', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife']","[4.8, 16]",Intermediate/Difficult,CA
7008522,tokopah-falls-trail,1.9,580.0,2.0,No Dogs,"['River/Creek', 'Waterfall', 'Wildflowers']","[4.6, 23]",Intermediate,CA
7008449,moro-rock-trail,2.0,286.0,102.0,No Dogs,['-none-'],"[4.7, 20]",Intermediate,CA
7007566,clouds-rest-trail,9.2,1974.0,2908.0,No Dogs,"['Views', 'Wildflowers']","[4.8, 16]",Intermediate/Difficult,CA
7009475,pct-echo-lake-to-highway-80-donner-summit,65.2,9230.0,9462.0,Unknown,"['Lake', 'Views', 'Wildflowers', 'Wildlife']","[5.0, 4]",Intermediate,CA
7017405,north-fork-big-pine-creek-trail,7.7,3434.0,94.0,Off-leash,"['Lake', 'River/Creek', 'Spring', 'Views', 'Waterfall']","[4.9, 11]",Intermediate,CA
7012894,el-capitan-trail,0.3,0.0,55.0,No Dogs,['Views'],"[5.0, 4]",Easy/Intermediate,CA
7005203,half-dome-trail,2.1,1798.0,33.0,No Dogs,"['Birding', 'Fall Colors', 'River/Creek', 'Views', 'Waterfall', 'Wildlife']","[4.8, 13]",,CA
7008407,kearsarge-pass-trail,7.6,2649.0,1137.0,No Dogs,"['Lake', 'River/Creek', 'Swimming', 'Views', 'Wildflowers', 'Wildlife', 'Commonly Backpacked']","[4.7, 13]",Intermediate/Difficult,CA
7009390,chilnualna-falls-trail,7.0,3548.0,302.0,No Dogs,"['Views', 'Waterfall']","[4.7, 16]",Intermediate/Difficult,CA
7008147,bishop-pass-trail,11.9,2241.0,3334.0,Unknown,"['Lake', 'River/Creek', 'Views', 'Wildflowers', 'Wildlife']","[4.9, 10]",Intermediate/Difficult,CA
7007062,duck-pass-trail,5.5,1649.0,627.0,Leashed,"['Lake', 'River/Creek', 'Swimming', 'Views', 'Wildlife']","[4.9, 9]",Intermediate/Difficult,CA
7001545,the-manitou-incline,1.1,2052.0,0.0,No Dogs,"['Fall Colors', 'Views']","[4.7, 58]",Difficult,CO
7009883,ice-lake-trail,3.4,2437.0,5.0,Off-leash,"['Lake', 'River/Creek', 'Swimming', 'Views', 'Waterfall', 'Wildflowers']","[4.8, 38]",Intermediate/Difficult,CO
7006073,herman-gulch-trail-98,3.3,1692.0,32.0,Leashed,"['Fall Colors', 'Lake', 'River/Creek', 'Views', 'Wildflowers', 'Wildlife']","[4.5, 33]",Intermediate,CO
7006776,chicago-lakes-trail-52,5.4,2704.0,488.0,Leashed,"['Fall Colors', 'Lake', 'River/Creek', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife']","[4.7, 28]",Intermediate/Difficult,CO
7000499,mills-lake-black-lake-trail,3.2,1405.0,12.0,No Dogs,"['Views', 'Waterfall']","[4.5, 33]",Intermediate,CO
7003752,first-second-flatiron-trail,0.6,930.0,0.0,No Dogs,"['Fall Colors', 'Views', 'Wildflowers']","[4.4, 35]",Intermediate/Difficult,CO
7020401,st-marys-glacier-trail,1.9,1214.0,4.0,Leashed,"['Lake', 'Swimming', 'Views']","[4.2, 37]",Intermediate,CO
7004848,rattlesnake-gulch-trail,2.3,934.0,329.0,Leashed,"['Birding', 'River/Creek', 'Views', 'Wildflowers', 'Wildlife']","[4.3, 35]",Intermediate,CO
7003653,blue-lakes-trail,7.6,3624.0,1396.0,Leashed,"['Fall Colors', 'Lake', 'River/Creek', 'Swimming', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife']","[4.8, 20]",Intermediate,CO
7006074,chief-mountain-trail-58,1.5,950.0,0.0,Leashed,"['Fall Colors', 'Views']","[4.4, 31]",Intermediate,CO
7000459,flattop-mountain-trail,4.2,2533.0,183.0,No Dogs,"['Views', 'Wildflowers', 'Wildlife']","[4.6, 25]",Intermediate/Difficult,CO
7004460,pawnee-pass-trail,4.5,2015.0,15.0,Leashed,"['Fall Colors', 'Lake', 'River/Creek', 'Views', 'Wildflowers', 'Wildlife']","[4.9, 17]",Intermediate/Difficult,CO
7001045,lake-haiyaha-trail,0.9,407.0,253.0,No Dogs,"['Birding', 'Fall Colors', 'Lake', 'River/Creek', 'Views', 'Wildlife']","[4.6, 24]",Intermediate,CO
7003402,arapaho-glacier-trail,7.9,2782.0,1544.0,Leashed,"['Birding', 'Fall Colors', 'Lake', 'River/Creek', 'Views', 'Wildlife']","[4.8, 14]",Intermediate/Difficult,CO
7032812,silver-dollar-lake-trail-79,2.1,963.0,42.0,Leashed,"['Birding', 'Fall Colors', 'Lake', 'Spring', 'Views', 'Wildflowers']","[4.7, 17]",Intermediate,CO
7001018,lions-lair-trail,2.2,711.0,40.0,No Dogs,"['Views', 'Wildlife']","[4.8, 14]",Easy/Intermediate,CO
7001047,dream-lake-trail,1.0,432.0,9.0,No Dogs,"['Birding', 'Fall Colors', 'Lake', 'River/Creek', 'Views', 'Wildflowers', 'Wildlife']","[4.7, 21]",Intermediate,CO
7004632,isabelle-glacier-trail,2.1,1129.0,58.0,Leashed,"['Lake', 'River/Creek', 'Views', 'Wildlife']","[4.7, 19]",Intermediate/Difficult,CO
7003342,barr-trail,12.5,7545.0,2.0,Leashed,"['Fall Colors', 'River/Creek', 'Views']","[4.3, 26]",Intermediate/Difficult,CO
7001397,horsetooth-rock-trail,2.5,1311.0,32.0,Leashed,"['Birding', 'Views', 'Wildflowers', 'Wildlife']","[4.4, 25]",Intermediate,CO
7012762,saugatuck-trail,10.7,907.0,1092.0,No Dogs,"['Birding', 'Fall Colors', 'Lake', 'River/Creek', 'Views', 'Wildflowers', 'Wildlife']","[4.8, 5]",Intermediate/Difficult,CT
7048054,blue-trail-quinnipiac-trail,5.1,1030.0,1028.0,Leashed,"['Fall Colors', 'Views', 'Wildflowers']","[5.0, 2]",Difficult,CT
7046393,lions-head-trail,1.2,576.0,77.0,Off-leash,"['Birding', 'Fall Colors', 'Views', 'Wildflowers']","[5.0, 2]",Intermediate/Difficult,CT
7024621,norwalk-river-valley-trail,2.0,156.0,18.0,Leashed,['-none-'],"[5.0, 1]",Easy,CT
7036534,farmington-canal-heritage-trail-northern-connecticut-section,22.8,614.0,598.0,Leashed,['Fall Colors'],"[5.0, 1]",Easy,CT
7047945,tower-trail,1.5,522.0,10.0,Leashed,['Views'],"[5.0, 1]",Easy,CT
7047944,yellow-trail,2.2,501.0,249.0,Leashed,"['Fall Colors', 'Views']","[5.0, 1]",Intermediate,CT
7003792,pomperaug-trail-blue,1.7,307.0,173.0,Leashed,['-none-'],"[5.0, 1]",Intermediate/Difficult,CT
7045369,laurel-grove-brook-trail,0.5,42.0,2.0,Off-leash,['-none-'],"[5.0, 1]",Intermediate,CT
7009065,green-square-trail,1.4,149.0,109.0,Unknown,"['Cave', 'Fall Colors', 'River/Creek', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife']","[5.0, 1]",Intermediate/Difficult,CT
7055374,yellow-trail,1.2,362.0,18.0,Unknown,['Views'],"[5.0, 1]",Easy/Intermediate,CT
7003789,crest-trail-bluewhite,1.7,312.0,223.0,Leashed,"['Fall Colors', 'Lake', 'Views', 'Wildlife']","[5.0, 1]",Intermediate/Difficult,CT
7062160,ives-trail-route-7-to-tarrywile-park-ives-house,4.5,1037.0,1026.0,Off-leash,"['Fall Colors', 'Lake']","[5.0, 1]",Difficult,CT
7012745,red-trail,2.6,476.0,207.0,Leashed,"['Birding', 'Fall Colors', 'River/Creek', 'Views', 'Wildflowers', 'Wildlife']","[4.7, 3]",Difficult,CT
7003651,bluff-point-fire-road,3.6,119.0,116.0,Leashed,"['Birding', 'Fall Colors', 'Swimming']","[4.3, 8]",Easy/Intermediate,CT
7048299,regicides-trail-blue-trail,7.2,919.0,631.0,Leashed,"['Fall Colors', 'Views', 'Wildflowers']","[4.5, 2]",Intermediate,CT
7002372,white-trail,3.6,412.0,98.0,Leashed,"['Birding', 'River/Creek', 'Wildlife']","[4.5, 2]",Intermediate/Difficult,CT
7024837,penwood-yellow-trail,1.8,235.0,127.0,Unknown,['-none-'],"[4.5, 2]",Intermediate/Difficult,CT
7035754,mt-frissell-trail,2.7,854.0,426.0,Leashed,"['Fall Colors', 'Views']","[4.0, 5]",Intermediate/Difficult,CT
7020904,under-mountain-trail,1.9,1032.0,0.0,Leashed,['-none-'],"[4.0, 4]",Intermediate,CT
7003451,gordons-pond-trail,2.8,24.0,10.0,Unknown,"['Birding', 'Fall Colors', 'Lake', 'River/Creek', 'Views', 'Wildflowers', 'Wildlife']","[5.0, 4]",Easy,DE
7026727,bob-loop-trail,5.0,34.0,35.0,Leashed,"['Birding', 'Wildlife']","[5.0, 2]",Easy,DE
7054830,pomeroy-newark-national-recreation-trail,3.2,102.0,96.0,Leashed,['-none-'],"[5.0, 1]",Easy,DE
7030481,chestnut-hill-trail,3.5,512.0,434.0,Unknown,"['Fall Colors', 'Views']","[4.8, 4]",Intermediate,DE
7029135,tri-state-marker-trail,3.3,324.0,372.0,Unknown,"['Fall Colors', 'River/Creek', 'Views', 'Wildlife']","[4.5, 2]",Intermediate,DE
7047287,rocky-run-trail,1.8,293.0,318.0,Unknown,['-none-'],"[4.5, 2]",Easy/Intermediate,DE
7029445,wendel-cassel-trail,3.0,323.0,325.0,Unknown,"['Fall Colors', 'Views']","[4.0, 2]",Intermediate,DE
7029406,double-horseshoe-trail,1.8,133.0,129.0,Unknown,"['Fall Colors', 'River/Creek', 'Views']","[4.0, 2]",Intermediate/Difficult,DE
7029707,twin-valley-trail,3.8,478.0,380.0,Unknown,['-none-'],"[4.0, 1]",Intermediate,DE
7037284,rittenhouse-trail,4.3,370.0,387.0,Unknown,['River/Creek'],"[4.0, 1]",Intermediate,DE
7032623,cross-country-trail,3.3,246.0,250.0,Leashed,"['Birding', 'River/Creek', 'Swimming', 'Wildflowers', 'Wildlife']","[4.0, 1]",Easy/Intermediate,DE
7044551,purple-trail,0.7,9.0,14.0,Leashed,"['Birding', 'Fall Colors', 'Wildflowers', 'Wildlife']","[4.0, 1]",Easy,DE
7042137,newark-reservoir-path,1.1,26.0,23.0,Leashed,['-none-'],"[4.0, 1]",Easy,DE
7045881,smith-bridge-to-ramsay-road,1.4,209.0,181.0,Unknown,['-none-'],"[4.0, 1]",Easy/Intermediate,DE
7054767,little-jersey-trail,7.8,444.0,444.0,Leashed,['Fall Colors'],"[4.0, 1]",Easy,DE
7029405,earth-day-trail,0.6,27.0,77.0,Unknown,"['Fall Colors', 'Views']","[4.0, 1]",Easy/Intermediate,DE
7023496,david-english-trail,2.8,315.0,167.0,Unknown,['-none-'],"[3.7, 3]",Intermediate,DE
7023497,bryans-field,2.0,201.0,207.0,Unknown,['-none-'],"[3.7, 3]",Easy/Intermediate,DE
7047291,brandywine-trail,2.7,216.0,202.0,Unknown,"['Fall Colors', 'River/Creek', 'Views']","[3.5, 2]",Easy,DE
7029444,charles-bailey-trail,2.7,198.0,196.0,Unknown,"['Fall Colors', 'Views']","[3.5, 2]",Easy/Intermediate,DE
7022036,lake-louisa-jog-trail,3.4,100.0,34.0,Leashed,"['Birding', 'River/Creek', 'Spring', 'Views', 'Wildflowers', 'Wildlife']","[5.0, 3]",Intermediate,FL
7016799,anhinga-trail,0.5,0.0,0.0,No Dogs,"['Birding', 'Wildlife']","[4.8, 6]",Easy,FL
7032097,yellow-blaze-trail,3.2,3.0,5.0,Leashed,"['Lake', 'Wildlife']","[5.0, 2]",Easy/Intermediate,FL
7044757,ocean-to-lake-trail-jw-corbett-section,16.2,260.0,261.0,Leashed,"['Birding', 'Views']","[5.0, 1]",Intermediate,FL
7048810,florida-trail-apalachicola-west,35.2,304.0,270.0,Unknown,"['Birding', 'Lake', 'River/Creek', 'Commonly Backpacked']","[5.0, 1]",Difficult,FL
7043570,clermont-clay-trail,10.2,221.0,218.0,Leashed,['Views'],"[5.0, 1]",Easy,FL
7044897,florida-national-scenic-trail-cassia-to-bear-pond,7.9,96.0,118.0,Leashed,['River/Creek'],"[5.0, 1]",Easy/Intermediate,FL
7037697,z-trail-hanna-park,3.2,4.0,3.0,Unknown,['-none-'],"[5.0, 1]",Difficult,FL
7043751,sand-lake-loop,0.4,21.0,20.0,Leashed,"['Birding', 'Lake']","[5.0, 1]",Easy,FL
7045003,lower-wekiva-loop,6.3,63.0,45.0,Leashed,['River/Creek'],"[5.0, 1]",Easy/Intermediate,FL
7043844,marsh-rabbit-run,0.7,3.0,2.0,No Dogs,"['Birding', 'Wildlife']","[5.0, 1]",Easy,FL
7053462,big-pine-trail,2.9,58.0,76.0,Unknown,['-none-'],"[5.0, 1]",Easy,FL
7016747,fallen-log-crossing,0.6,40.0,39.0,Unknown,['Views'],"[5.0, 1]",Easy,FL
7045901,cypress-boardwalk,0.5,32.0,43.0,No Dogs,"['Birding', 'Lake', 'Views', 'Wildlife']","[5.0, 1]",Easy,FL
7048977,blackwater-cutoff-trail,0.8,4.0,1.0,No Dogs,"['Birding', 'Wildlife']","[5.0, 1]",Easy,FL
7053286,blackrock-trail,1.8,24.0,49.0,No Dogs,"['Birding', 'Swimming', 'Wildflowers', 'Wildlife']","[5.0, 1]",Intermediate,FL
7024790,red-trail,1.1,26.0,19.0,Leashed,"['Birding', 'Wildlife']","[5.0, 1]",Easy,FL
7043846,wading-bird-way,0.7,5.0,8.0,No Dogs,"['Birding', 'Wildlife']","[5.0, 1]",Easy,FL
7043299,heron-hideout,0.3,1.0,0.0,No Dogs,"['Birding', 'River/Creek', 'Wildlife']","[5.0, 1]",Easy,FL
7043839,east-west-connector-trail,1.8,27.0,65.0,Leashed,['-none-'],"[5.0, 1]",Easy/Intermediate,FL
7019570,west-rim-loop-trail,3.6,505.0,564.0,No Dogs,"['Cave', 'Fall Colors', 'River/Creek', 'Spring', 'Views', 'Waterfall', 'Wildflowers', 'Wildlife']","[4.9, 15]",Intermediate,GA
7031453,hike-inn-lodge-trail,5.6,1288.0,548.0,Leashed,"['Fall Colors', 'River/Creek', 'Views', 'Wildlife']","[5.0, 4]",Intermediate/Difficult,GA
